,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
1933,1933,1390165934,"(25.6219925, 45.658481)",25.6219925,45.658481,0.2580897006172284,0.2222222222222222,0.006482067534941137,0.8304515986734838,0.09816146653254157,0.09825796642148293,0.8958567051663633
1934,1934,10936883763,"(25.6225341, 45.6588616)",25.6225341,45.6588616,0.21536017797996382,0.2222222222222222,0.02282513988538396,0.8265904564770816,0.36817701070547487,0.34984947111195286,0.5238780690764133
1935,1935,2686285424,"(25.6217292, 45.6586625)",25.6217292,45.6586625,0.23548656450758393,0.2222222222222222,0.008576169377933705,0.833952980635365,0.022225883363904502,0.029825507503047598,0.6490847565857027
1936,1936,1390165939,"(25.6217045, 45.6582686)",25.6217045,45.6582686,0.32587536431276326,0.2222222222222222,9.018051481218447e-05,0.8554168965629175,0.18618400305573474,0.1950575983915237,0.8114240024745619
1937,1937,2309716375,"(25.6217499, 45.6582704)",25.6217499,45.6582704,0.3274466263955051,0.2222222222222222,2.8082987247725227e-05,0.8334057976742918,0.18618773898106597,0.19506137490222825,0.6282269279903778
1938,1938,6401805585,"(25.6157144, 45.6510996)",25.6157144,45.6510996,0.25308372465538886,0.2222222222222222,1.5392096972864834e-06,0.8836447148951866,0.4338899514863098,0.44488013751219946,0.6937162672982854
1939,1939,1456240887,"(25.6160439, 45.651315)",25.6160439,45.651315,0.28906407586228056,0.2222222222222222,1.5867765291767477e-05,0.8427864514633355,0.253895251559246,0.25100635159084494,0.833825317494196
1940,1940,2271375782,"(25.6199857, 45.6473737)",25.6199857,45.6473737,0.23861149135365894,0.2222222222222222,1.6156603921658242e-07,0.8628803876311636,0.010403863968780585,0.010549322985993835,0.8259177406340478
1941,1941,2661250232,"(25.6166749, 45.6510327)",25.6166749,45.6510327,0.199966986618221,0.2222222222222222,4.3831978632226225e-07,0.8559864243841449,0.1483264482364326,0.16084161339393668,0.8151296047649362
1942,1942,1786326421,"(25.5895857, 45.6457718)",25.5895857,45.6457718,0.24938211116262277,0.2222222222222222,6.351791809287491e-15,0.8276481994677299,0.08044854456619807,0.08406817422314088,0.7655884207692525
1943,1943,1852457813,"(25.6343481, 45.6652066)",25.6343481,45.6652066,0.3625708755613426,0.5555555555555556,0.0003907820644470841,0.8024982682631646,0.353791710173501,0.3608269925278449,0.7614179401258956
1944,1944,6542684677,"(25.6347797, 45.6654319)",25.6347797,45.6654319,0.23826770786505563,0.4444444444444445,0.00013539265372209023,0.7843363365150717,0.2603097818179744,0.26417516056095275,0.8447766772094103
1945,1945,6542684682,"(25.6344348, 45.6655912)",25.6344348,45.6655912,0.3090056720950495,0.4444444444444445,0.00018425421669701592,0.8040773988849328,0.27893951063777234,0.28577601127244157,0.7255825014612486
1946,1946,1916018738,"(25.5808927, 45.6789052)",25.5808927,45.6789052,0.42892063761239235,0.5555555555555556,6.409643697940893e-15,0.8162040800526482,0.19388176992073092,0.19618827698582042,0.4990878979648191
1947,1947,2279659762,"(25.581071, 45.6797053)",25.581071,45.6797053,0.4059662898679224,0.5555555555555556,6.53745811730123e-15,0.8126744060558416,0.20766885703854995,0.21078487300654067,0.8191412303849409
1948,1948,2278097004,"(25.5805174, 45.6770871)",25.5805174,45.6770871,0.40604296414350083,0.5555555555555556,6.296149460276605e-15,0.8312111201343502,0.20515940862664722,0.20750280842860125,0.7805932417970789
1949,1949,10586240904,"(25.5806909, 45.6788562)",25.5806909,45.6788562,0.13857091223166493,0.1111111111111111,6.3491124149831364e-15,0.7961049944874891,0.0,0.0,0.7880984364828951
1950,1950,1921702420,"(25.5833147, 45.6929346)",25.5833147,45.6929346,0.17110132016386825,0.2222222222222222,6.301656907020659e-15,0.7337690358863014,0.2898498674314513,0.29419555643499856,0.49084332796189356
1951,1951,1921702421,"(25.5834437, 45.6929551)",25.5834437,45.6929551,0.18175901315200027,0.2222222222222222,7.503139280049686e-15,0.7883068134234607,0.40616776294745893,0.41091480155322263,0.8080858818908294
